"simulation_day","netpen_id","farm_id","species_id","within_netpen_transmission","n_susceptible","n_latent","n_subclinical","n_clinical","n_immune","n_total","infection_status","infection_origin","day_infected","is_vaccinated"
0,1,1,1,0.8,24950,0,50,0,0,25000,1,"index",0,0
1,1,1,1,0.8,24911,39,35,15,0,25000,1,"index",0,0
2,1,1,1,0.8,24882,68,7,43,0,25000,1,"index",0,0
3,1,1,1,0.8,24851,99,0,43,7,25000,1,"index",0,0
4,1,1,1,0.8,24817,133,0,39,11,25000,1,"index",0,0
5,1,1,1,0.8,24787,163,0,34,16,25000,1,"index",0,0
6,1,1,1,0.8,24760,185,5,30,20,25000,1,"index",0,0
7,1,1,1,0.8,24735,198,15,22,30,25000,1,"index",0,0
8,1,1,1,0.8,24703,210,29,25,33,25000,1,"index",0,0
9,1,1,1,0.8,24652,228,53,24,43,25000,1,"index",0,0
10,1,1,1,0.8,24595,251,68,32,54,25000,1,"index",0,0
11,1,1,1,0.8,24513,298,69,59,61,25000,1,"index",0,0
12,1,1,1,0.8,24423,363,66,78,70,25000,1,"index",0,0
13,1,1,1,0.8,24319,437,53,107,84,25000,1,"index",0,0
14,1,1,1,0.8,24218,500,63,118,101,25000,1,"index",0,0
15,1,1,1,0.8,24070,607,81,120,122,25000,1,"index",0,0
16,1,1,1,0.8,23906,719,92,129,154,25000,1,"index",0,0
17,1,1,1,0.8,23730,843,99,151,177,25000,1,"index",0,0
18,1,1,1,0.8,23553,941,132,168,206,25000,1,"index",0,0
19,1,1,1,0.8,23304,1098,172,182,244,25000,1,"index",0,0
20,1,1,1,0.8,23045,1253,191,236,275,25000,1,"index",0,0
21,1,1,1,0.8,22756,1431,211,286,316,25000,1,"index",0,0
22,1,1,1,0.8,22396,1647,257,331,369,25000,1,"index",0,0
23,1,1,1,0.8,21968,1887,320,404,421,25000,1,"index",0,0
24,1,1,1,0.8,21449,2238,358,464,491,25000,1,"index",0,0
25,1,1,1,0.8,20891,2599,374,554,582,25000,1,"index",0,0
26,1,1,1,0.8,20292,2954,432,642,680,25000,1,"index",0,0
27,1,1,1,0.8,19640,3353,486,724,797,25000,1,"index",0,0
28,1,1,1,0.8,18874,3793,578,820,935,25000,1,"index",0,0
29,1,1,1,0.8,17983,4306,664,951,1096,25000,1,"index",0,0
30,1,1,1,0.8,17056,4800,805,1059,1280,25000,1,"index",0,0
31,1,1,1,0.8,15972,5363,944,1220,1501,25000,1,"index",0,0
32,1,1,1,0.8,14857,5932,1030,1422,1759,25000,1,"index",0,0
33,1,1,1,0.8,13618,6580,1127,1635,2040,25000,1,"index",0,0
34,1,1,1,0.8,12385,7116,1280,1867,2352,25000,1,"index",0,0
35,1,1,1,0.8,11076,7594,1518,2111,2701,25000,1,"index",0,0
36,1,1,1,0.8,9702,8072,1690,2436,3100,25000,1,"index",0,0
37,1,1,1,0.8,8338,8466,1864,2759,3573,25000,1,"index",0,0
38,1,1,1,0.8,6976,8811,1999,3105,4109,25000,1,"index",0,0
39,1,1,1,0.8,5742,8851,2210,3516,4681,25000,1,"index",0,0
40,1,1,1,0.8,4601,8783,2376,3873,5367,25000,1,"index",0,0
41,1,1,1,0.8,3555,8535,2487,4274,6149,25000,1,"index",0,0
42,1,1,1,0.8,2651,8152,2575,4612,7010,25000,1,"index",0,0
43,1,1,1,0.8,1957,7496,2655,4982,7910,25000,1,"index",0,0
44,1,1,1,0.8,1363,6741,2708,5241,8947,25000,1,"index",0,0
45,1,1,1,0.8,898,5894,2674,5527,10007,25000,1,"index",0,0
46,1,1,1,0.8,589,4957,2596,5662,11196,25000,1,"index",0,0
47,1,1,1,0.8,358,4063,2385,5805,12389,25000,1,"index",0,0
48,1,1,1,0.8,196,3261,2134,5770,13639,25000,1,"index",0,0
49,1,1,1,0.8,114,2441,1901,5593,14951,25000,1,"index",0,0
50,1,1,1,0.8,60,1817,1573,5413,16137,25000,1,"index",0,0
51,1,1,1,0.8,28,1299,1287,5035,17351,25000,1,"index",0,0
52,1,1,1,0.8,15,868,1030,4535,18552,25000,1,"index",0,0
53,1,1,1,0.8,7,577,750,3943,19723,25000,1,"index",0,0
54,1,1,1,0.8,5,347,560,3306,20782,25000,1,"index",0,0
55,1,1,1,0.8,2,205,402,2723,21668,25000,1,"index",0,0
56,1,1,1,0.8,2,111,261,2180,22446,25000,1,"index",0,0
57,1,1,1,0.8,0,61,155,1670,23114,25000,1,"index",0,0
58,1,1,1,0.8,0,33,84,1276,23607,25000,1,"index",0,0
59,1,1,1,0.8,0,13,49,925,24013,25000,1,"index",0,0
60,1,1,1,0.8,0,8,24,659,24309,25000,1,"index",0,0
61,1,1,1,0.8,0,5,11,453,24531,25000,1,"index",0,0
62,1,1,1,0.8,0,3,6,278,24713,25000,1,"index",0,0
63,1,1,1,0.8,0,2,4,158,24836,25000,1,"index",0,0
64,1,1,1,0.8,0,1,1,90,24908,25000,1,"index",0,0
65,1,1,1,0.8,0,0,2,44,24954,25000,1,"index",0,0
66,1,1,1,0.8,0,0,2,18,24980,25000,1,"index",0,0
67,1,1,1,0.8,0,0,1,11,24988,25000,1,"index",0,0
68,1,1,1,0.8,0,0,0,7,24993,25000,1,"index",0,0
69,1,1,1,0.8,0,0,0,3,24997,25000,1,"index",0,0
70,1,1,1,0.8,0,0,0,3,24997,25000,1,"index",0,0
71,1,1,1,0.8,0,0,0,1,24999,25000,1,"index",0,0
72,1,1,1,0.8,0,0,0,1,24999,25000,1,"index",0,0
73,1,1,1,0.8,0,0,0,1,24999,25000,1,"index",0,0
74,1,1,1,0.8,0,0,0,0,25000,25000,1,"index",0,0
