"simulation_day","netpen_id","farm_id","species_id","within_netpen_transmission","n_susceptible","n_latent","n_subclinical","n_clinical","n_immune","n_total","infection_status","infection_origin","day_infected","is_vaccinated"
0,1,1,1,0.14,24950,0,50,0,0,25000,1,"index",0,0
1,1,1,1,0.14,24946,4,33,17,0,25000,1,"index",0,0
2,1,1,1,0.14,24939,11,15,34,1,25000,1,"index",0,0
3,1,1,1,0.14,24931,19,0,43,7,25000,1,"index",0,0
4,1,1,1,0.14,24927,23,0,35,15,25000,1,"index",0,0
5,1,1,1,0.14,24919,31,0,29,21,25000,1,"index",0,0
6,1,1,1,0.14,24917,32,1,23,27,25000,1,"index",0,0
7,1,1,1,0.14,24914,34,2,15,35,25000,1,"index",0,0
8,1,1,1,0.14,24910,35,3,12,40,25000,1,"index",0,0
9,1,1,1,0.14,24909,34,4,5,48,25000,1,"index",0,0
10,1,1,1,0.14,24908,24,13,6,49,25000,1,"index",0,0
11,1,1,1,0.14,24904,19,17,8,52,25000,1,"index",0,0
12,1,1,1,0.14,24900,21,13,14,52,25000,1,"index",0,0
13,1,1,1,0.14,24898,18,9,21,54,25000,1,"index",0,0
14,1,1,1,0.14,24897,16,8,20,59,25000,1,"index",0,0
15,1,1,1,0.14,24894,17,4,21,64,25000,1,"index",0,0
16,1,1,1,0.14,24890,19,4,21,66,25000,1,"index",0,0
17,1,1,1,0.14,24887,20,5,18,70,25000,1,"index",0,0
18,1,1,1,0.14,24882,22,5,20,71,25000,1,"index",0,0
19,1,1,1,0.14,24879,21,6,19,75,25000,1,"index",0,0
20,1,1,1,0.14,24874,25,7,13,81,25000,1,"index",0,0
21,1,1,1,0.14,24872,25,5,12,86,25000,1,"index",0,0
22,1,1,1,0.14,24870,22,7,12,89,25000,1,"index",0,0
23,1,1,1,0.14,24868,21,8,10,93,25000,1,"index",0,0
24,1,1,1,0.14,24866,17,12,10,95,25000,1,"index",0,0
25,1,1,1,0.14,24861,20,9,13,97,25000,1,"index",0,0
26,1,1,1,0.14,24858,20,7,17,98,25000,1,"index",0,0
27,1,1,1,0.14,24854,23,3,18,102,25000,1,"index",0,0
28,1,1,1,0.14,24850,22,7,16,105,25000,1,"index",0,0
29,1,1,1,0.14,24845,24,7,16,108,25000,1,"index",0,0
30,1,1,1,0.14,24843,25,3,17,112,25000,1,"index",0,0
