"simulation_day","netpen_id","farm_id","species_id","within_netpen_transmission","n_susceptible","n_latent","n_subclinical","n_clinical","n_immune","n_total","infection_status","infection_origin","day_infected","is_vaccinated"
0,1,1,1,0.4,24950,0,50,0,0,25000,1,"index",0,0
1,1,1,1,0.4,24937,13,33,17,0,25000,1,"index",0,0
2,1,1,1,0.4,24914,36,13,32,5,25000,1,"index",0,0
3,1,1,1,0.4,24897,53,0,43,7,25000,1,"index",0,0
4,1,1,1,0.4,24885,65,0,40,10,25000,1,"index",0,0
5,1,1,1,0.4,24871,79,0,30,20,25000,1,"index",0,0
6,1,1,1,0.4,24862,86,2,25,25,25000,1,"index",0,0
7,1,1,1,0.4,24858,83,9,18,32,25000,1,"index",0,0
8,1,1,1,0.4,24850,81,17,13,39,25000,1,"index",0,0
9,1,1,1,0.4,24834,79,28,13,46,25000,1,"index",0,0
10,1,1,1,0.4,24819,78,34,20,49,25000,1,"index",0,0
11,1,1,1,0.4,24800,82,30,35,53,25000,1,"index",0,0
12,1,1,1,0.4,24776,96,22,45,61,25000,1,"index",0,0
13,1,1,1,0.4,24736,126,22,53,63,25000,1,"index",0,0
14,1,1,1,0.4,24717,136,18,55,74,25000,1,"index",0,0
15,1,1,1,0.4,24692,157,11,56,84,25000,1,"index",0,0
16,1,1,1,0.4,24672,163,20,49,96,25000,1,"index",0,0
17,1,1,1,0.4,24641,172,33,48,106,25000,1,"index",0,0
18,1,1,1,0.4,24611,182,38,53,116,25000,1,"index",0,0
19,1,1,1,0.4,24572,194,47,62,125,25000,1,"index",0,0
20,1,1,1,0.4,24531,205,59,72,133,25000,1,"index",0,0
21,1,1,1,0.4,24484,227,56,84,149,25000,1,"index",0,0
22,1,1,1,0.4,24428,257,52,92,171,25000,1,"index",0,0
23,1,1,1,0.4,24366,298,45,105,186,25000,1,"index",0,0
24,1,1,1,0.4,24313,321,52,115,199,25000,1,"index",0,0
25,1,1,1,0.4,24249,351,63,113,224,25000,1,"index",0,0
26,1,1,1,0.4,24196,369,69,116,250,25000,1,"index",0,0
27,1,1,1,0.4,24109,410,85,121,275,25000,1,"index",0,0
28,1,1,1,0.4,24026,450,91,127,306,25000,1,"index",0,0
29,1,1,1,0.4,23949,465,106,142,338,25000,1,"index",0,0
30,1,1,1,0.4,23862,497,106,170,365,25000,1,"index",0,0
