"simulation_day","netpen_id","farm_id","species_id","within_netpen_transmission","n_susceptible","n_latent","n_subclinical","n_clinical","n_immune","n_total","infection_status","infection_origin","day_infected","is_vaccinated"
0,1,1,1,0.8,24950,0,50,0,0,25000,"subclinical","index",0,0
1,1,1,1,0.8,24915,35,40,10,0,25000,"subclinical","index",0,0
2,1,1,1,0.8,24877,73,9,40,1,25000,"subclinical","index",0,0
3,1,1,1,0.8,24835,115,0,43,7,25000,"subclinical","index",0,0
4,1,1,1,0.8,24804,146,0,41,9,25000,"subclinical","index",0,0
5,1,1,1,0.8,24771,178,1,34,16,25000,"subclinical","index",0,0
6,1,1,1,0.8,24730,215,5,32,18,25000,"subclinical","index",0,0
7,1,1,1,0.8,24690,242,15,26,27,25000,"subclinical","index",0,0
8,1,1,1,0.8,24655,251,34,22,38,25000,"subclinical","index",0,0
9,1,1,1,0.8,24604,258,66,22,50,25000,"subclinical","index",0,0
10,1,1,1,0.8,24531,293,73,48,55,25000,"subclinical","index",0,0
11,1,1,1,0.8,24437,352,73,73,65,25000,"subclinical","index",0,0
12,1,1,1,0.8,24331,429,68,100,72,25000,"subclinical","index",0,0
13,1,1,1,0.8,24214,506,67,128,85,25000,"subclinical","index",0,0
14,1,1,1,0.8,24054,625,79,138,104,25000,"subclinical","index",0,0
15,1,1,1,0.8,23892,756,70,157,125,25000,"subclinical","index",0,0
16,1,1,1,0.8,23717,877,87,157,162,25000,"subclinical","index",0,0
17,1,1,1,0.8,23559,962,121,164,194,25000,"subclinical","index",0,0
18,1,1,1,0.8,23346,1068,186,169,231,25000,"subclinical","index",0,0
19,1,1,1,0.8,23030,1259,231,209,271,25000,"subclinical","index",0,0
20,1,1,1,0.8,22707,1460,241,286,306,25000,"subclinical","index",0,0
21,1,1,1,0.8,22348,1681,260,355,356,25000,"subclinical","index",0,0
22,1,1,1,0.8,21912,1943,309,418,418,25000,"subclinical","index",0,0
23,1,1,1,0.8,21384,2302,337,475,502,25000,"subclinical","index",0,0
24,1,1,1,0.8,20827,2660,369,545,599,25000,"subclinical","index",0,0
25,1,1,1,0.8,20216,3061,404,612,707,25000,"subclinical","index",0,0
26,1,1,1,0.8,19589,3389,514,692,816,25000,"subclinical","index",0,0
27,1,1,1,0.8,18818,3800,641,785,956,25000,"subclinical","index",0,0
28,1,1,1,0.8,17950,4291,705,949,1105,25000,"subclinical","index",0,0
29,1,1,1,0.8,16963,4817,827,1115,1278,25000,"subclinical","index",0,0
30,1,1,1,0.8,15888,5373,941,1312,1486,25000,"subclinical","index",0,0
31,1,1,1,0.8,14699,6001,1069,1509,1722,25000,"subclinical","index",0,0
32,1,1,1,0.8,13428,6642,1194,1718,2018,25000,"subclinical","index",0,0
33,1,1,1,0.8,12119,7243,1340,1963,2335,25000,"subclinical","index",0,0
34,1,1,1,0.8,10756,7867,1438,2229,2710,25000,"subclinical","index",0,0
35,1,1,1,0.8,9423,8277,1674,2482,3144,25000,"subclinical","index",0,0
36,1,1,1,0.8,8101,8623,1841,2790,3645,25000,"subclinical","index",0,0
37,1,1,1,0.8,6782,8867,2041,3103,4207,25000,"subclinical","index",0,0
38,1,1,1,0.8,5608,8831,2252,3466,4843,25000,"subclinical","index",0,0
39,1,1,1,0.8,4441,8711,2420,3904,5524,25000,"subclinical","index",0,0
40,1,1,1,0.8,3463,8377,2556,4334,6270,25000,"subclinical","index",0,0
41,1,1,1,0.8,2590,7958,2565,4802,7085,25000,"subclinical","index",0,0
42,1,1,1,0.8,1875,7285,2680,5147,8013,25000,"subclinical","index",0,0
43,1,1,1,0.8,1300,6589,2623,5456,9032,25000,"subclinical","index",0,0
44,1,1,1,0.8,837,5775,2560,5671,10157,25000,"subclinical","index",0,0
45,1,1,1,0.8,538,4896,2430,5772,11364,25000,"subclinical","index",0,0
46,1,1,1,0.8,333,4008,2277,5799,12583,25000,"subclinical","index",0,0
47,1,1,1,0.8,193,3156,2086,5663,13902,25000,"subclinical","index",0,0
48,1,1,1,0.8,119,2391,1844,5493,15153,25000,"subclinical","index",0,0
49,1,1,1,0.8,58,1754,1594,5247,16347,25000,"subclinical","index",0,0
50,1,1,1,0.8,27,1234,1297,4854,17588,25000,"subclinical","index",0,0
51,1,1,1,0.8,16,790,1026,4418,18750,25000,"subclinical","index",0,0
52,1,1,1,0.8,5,515,759,3939,19782,25000,"subclinical","index",0,0
53,1,1,1,0.8,3,335,519,3349,20794,25000,"subclinical","index",0,0
54,1,1,1,0.8,1,190,341,2812,21656,25000,"subclinical","index",0,0
55,1,1,1,0.8,1,109,236,2226,22428,25000,"subclinical","index",0,0
56,1,1,1,0.8,0,63,150,1734,23053,25000,"subclinical","index",0,0
57,1,1,1,0.8,0,28,95,1319,23558,25000,"subclinical","index",0,0
58,1,1,1,0.8,0,14,47,971,23968,25000,"subclinical","index",0,0
59,1,1,1,0.8,0,7,25,653,24315,25000,"subclinical","index",0,0
60,1,1,1,0.8,0,3,15,444,24538,25000,"subclinical","index",0,0
61,1,1,1,0.8,0,1,7,281,24711,25000,"subclinical","index",0,0
62,1,1,1,0.8,0,1,3,165,24831,25000,"subclinical","index",0,0
63,1,1,1,0.8,0,0,1,101,24898,25000,"subclinical","index",0,0
64,1,1,1,0.8,0,0,1,52,24947,25000,"subclinical","index",0,0
65,1,1,1,0.8,0,0,0,33,24967,25000,"subclinical","index",0,0
66,1,1,1,0.8,0,0,0,15,24985,25000,"subclinical","index",0,0
67,1,1,1,0.8,0,0,0,11,24989,25000,"subclinical","index",0,0
68,1,1,1,0.8,0,0,0,6,24994,25000,"subclinical","index",0,0
69,1,1,1,0.8,0,0,0,2,24998,25000,"subclinical","index",0,0
70,1,1,1,0.8,0,0,0,1,24999,25000,"subclinical","index",0,0
71,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
72,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
73,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
74,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
75,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
76,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
77,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
78,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
79,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
80,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
81,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
82,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
83,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
84,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
85,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
86,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
87,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
88,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
89,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
90,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
91,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
92,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
93,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
94,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
95,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
96,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
97,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
98,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
99,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
100,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
101,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
102,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
103,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
104,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
105,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
106,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
107,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
108,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
109,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
110,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
111,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
112,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
113,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
114,1,1,1,0.8,0,0,0,0,25000,25000,"subclinical","index",0,0
