"simulation_day","netpen_id","farm_id","species_id","within_netpen_transmission","n_susceptible","n_latent","n_subclinical","n_clinical","n_immune","n_total","infection_status","infection_origin","day_infected","is_vaccinated"
0,1,1,1,0.14,24950,0,50,0,0,25000,"subclinical","index",0,0
1,1,1,1,0.14,24936,14,38,12,0,25000,"subclinical","index",0,0
2,1,1,1,0.14,24929,21,13,36,1,25000,"subclinical","index",0,0
3,1,1,1,0.14,24920,30,0,45,5,25000,"subclinical","index",0,0
4,1,1,1,0.14,24915,35,0,39,11,25000,"subclinical","index",0,0
5,1,1,1,0.14,24908,42,0,32,18,25000,"subclinical","index",0,0
6,1,1,1,0.14,24904,46,0,28,22,25000,"subclinical","index",0,0
7,1,1,1,0.14,24903,43,4,22,28,25000,"subclinical","index",0,0
8,1,1,1,0.14,24900,41,8,15,36,25000,"subclinical","index",0,0
9,1,1,1,0.14,24899,30,17,10,44,25000,"subclinical","index",0,0
10,1,1,1,0.14,24897,21,21,14,47,25000,"subclinical","index",0,0
11,1,1,1,0.14,24893,17,19,19,52,25000,"subclinical","index",0,0
12,1,1,1,0.14,24890,17,12,26,55,25000,"subclinical","index",0,0
13,1,1,1,0.14,24884,21,7,28,60,25000,"subclinical","index",0,0
14,1,1,1,0.14,24877,25,8,21,69,25000,"subclinical","index",0,0
15,1,1,1,0.14,24874,27,3,25,71,25000,"subclinical","index",0,0
16,1,1,1,0.14,24873,25,5,24,73,25000,"subclinical","index",0,0
17,1,1,1,0.14,24867,28,6,21,78,25000,"subclinical","index",0,0
18,1,1,1,0.14,24865,26,7,18,84,25000,"subclinical","index",0,0
19,1,1,1,0.14,24860,28,4,19,89,25000,"subclinical","index",0,0
20,1,1,1,0.14,24854,29,8,13,96,25000,"subclinical","index",0,0
21,1,1,1,0.14,24851,27,10,15,97,25000,"subclinical","index",0,0
22,1,1,1,0.14,24849,24,10,16,101,25000,"subclinical","index",0,0
23,1,1,1,0.14,24845,27,5,19,104,25000,"subclinical","index",0,0
24,1,1,1,0.14,24845,24,4,20,107,25000,"subclinical","index",0,0
25,1,1,1,0.14,24841,22,8,18,111,25000,"subclinical","index",0,0
26,1,1,1,0.14,24840,22,6,16,116,25000,"subclinical","index",0,0
27,1,1,1,0.14,24836,23,4,19,118,25000,"subclinical","index",0,0
28,1,1,1,0.14,24832,18,11,16,123,25000,"subclinical","index",0,0
29,1,1,1,0.14,24824,25,7,15,129,25000,"subclinical","index",0,0
30,1,1,1,0.14,24819,27,3,19,132,25000,"subclinical","index",0,0
31,1,1,1,0.14,24815,30,4,18,133,25000,"subclinical","index",0,0
32,1,1,1,0.14,24812,29,6,17,136,25000,"subclinical","index",0,0
33,1,1,1,0.14,24811,25,8,19,137,25000,"subclinical","index",0,0
34,1,1,1,0.14,24803,30,7,18,142,25000,"subclinical","index",0,0
35,1,1,1,0.14,24798,31,7,17,147,25000,"subclinical","index",0,0
36,1,1,1,0.14,24796,28,6,20,150,25000,"subclinical","index",0,0
37,1,1,1,0.14,24793,26,9,16,156,25000,"subclinical","index",0,0
