"simulation_day","netpen_id","farm_id","species_id","within_netpen_transmission","n_susceptible","n_latent","n_subclinical","n_clinical","n_immune","n_total","infection_status","infection_origin","day_infected","is_vaccinated"
0,1,1,1,0.4,24950,0,50,0,0,25000,"subclinical","index",0,0
1,1,1,1,0.4,24936,14,31,19,0,25000,"subclinical","index",0,0
2,1,1,1,0.4,24916,34,8,40,2,25000,"subclinical","index",0,0
3,1,1,1,0.4,24900,50,0,41,9,25000,"subclinical","index",0,0
4,1,1,1,0.4,24877,73,0,33,17,25000,"subclinical","index",0,0
5,1,1,1,0.4,24863,87,0,28,22,25000,"subclinical","index",0,0
6,1,1,1,0.4,24849,98,3,24,26,25000,"subclinical","index",0,0
7,1,1,1,0.4,24835,106,8,21,30,25000,"subclinical","index",0,0
8,1,1,1,0.4,24824,113,9,14,40,25000,"subclinical","index",0,0
9,1,1,1,0.4,24810,104,27,10,49,25000,"subclinical","index",0,0
10,1,1,1,0.4,24802,94,37,16,51,25000,"subclinical","index",0,0
11,1,1,1,0.4,24788,87,41,31,53,25000,"subclinical","index",0,0
12,1,1,1,0.4,24755,108,36,44,57,25000,"subclinical","index",0,0
13,1,1,1,0.4,24731,119,26,59,65,25000,"subclinical","index",0,0
14,1,1,1,0.4,24699,133,31,63,74,25000,"subclinical","index",0,0
15,1,1,1,0.4,24669,151,29,65,86,25000,"subclinical","index",0,0
16,1,1,1,0.4,24632,182,20,68,98,25000,"subclinical","index",0,0
17,1,1,1,0.4,24595,199,27,68,111,25000,"subclinical","index",0,0
18,1,1,1,0.4,24556,222,30,70,122,25000,"subclinical","index",0,0
19,1,1,1,0.4,24519,233,39,69,140,25000,"subclinical","index",0,0
20,1,1,1,0.4,24482,242,50,65,161,25000,"subclinical","index",0,0
21,1,1,1,0.4,24444,251,58,70,177,25000,"subclinical","index",0,0
22,1,1,1,0.4,24392,267,66,81,194,25000,"subclinical","index",0,0
23,1,1,1,0.4,24338,287,72,99,204,25000,"subclinical","index",0,0
24,1,1,1,0.4,24280,309,79,106,226,25000,"subclinical","index",0,0
25,1,1,1,0.4,24203,346,77,133,241,25000,"subclinical","index",0,0
26,1,1,1,0.4,24121,396,76,134,273,25000,"subclinical","index",0,0
27,1,1,1,0.4,24042,428,82,150,298,25000,"subclinical","index",0,0
28,1,1,1,0.4,23929,501,81,157,332,25000,"subclinical","index",0,0
29,1,1,1,0.4,23844,533,90,161,372,25000,"subclinical","index",0,0
30,1,1,1,0.4,23744,573,112,166,405,25000,"subclinical","index",0,0
31,1,1,1,0.4,23631,634,113,189,433,25000,"subclinical","index",0,0
32,1,1,1,0.4,23519,667,129,210,475,25000,"subclinical","index",0,0
33,1,1,1,0.4,23393,705,158,228,516,25000,"subclinical","index",0,0
34,1,1,1,0.4,23227,779,186,239,569,25000,"subclinical","index",0,0
35,1,1,1,0.4,23086,823,192,277,622,25000,"subclinical","index",0,0
36,1,1,1,0.4,22931,892,186,317,674,25000,"subclinical","index",0,0
37,1,1,1,0.4,22732,989,193,351,735,25000,"subclinical","index",0,0
38,1,1,1,0.4,22541,1064,224,365,806,25000,"subclinical","index",0,0
39,1,1,1,0.4,22295,1203,219,404,879,25000,"subclinical","index",0,0
